"扫描序号","扫描仪号","批次号","kh","xz1","xz2","xz3","xz4","xz5","xz6","xz7","xz8","xz9","xz10","xz11","xz12","xz13","xz14","xz15","xz16","xz17","xz18","xz19","xz20","xz21","xz22","xz23","xz24","xz25","xz26","xz27","xz28","xz29","xz30","xz31","xz32","xz33","xz34","xz35","xz36","xz37","xz38","xz39","xz40","p1"
000197,1,1048743,"200001","A","A","C","D","C","B","B","D","C","C","A","C","C","B","D","A","A","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","D","C","B","D","C","D","C","\C_IMAGES\200001_00_1_p1.TIF"
000196,1,1048743,"200002","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","A","B","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","C","B","B","C","C","D","C","\C_IMAGES\200002_00_1_p1.TIF"
000195,1,1048743,"200003","A","A","C","D","C","C","B","D","C","C","C","C","A","D","B","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","D","C","D","C","D","C","\C_IMAGES\200003_00_1_p1.TIF"
000194,1,1048743,"200004","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200004_00_1_p1.TIF"
000193,1,1048743,"200005","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","A","C","B","B","C","C","A","C","D","B","D","A","B","D","B","A","C","C","B","B","C","C","D","C","\C_IMAGES\200005_00_1_p1.TIF"
000192,1,1048743,"200006","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","D","D","C","B","B","A","A","A","C","D","B","C","A","B","D","B","A","C","C","B","B","A","C","C","A","\C_IMAGES\200006_00_1_p1.TIF"
000191,1,1048743,"200007","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","A","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","D","C","D","A","\C_IMAGES\200007_00_1_p1.TIF"
000184,1,1048743,"200008","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","B","B","C","C","D","C","\C_IMAGES\200008_00_1_p1.TIF"
000185,1,1048743,"200010","A","A","C","D","C","C","B","D","C","C","A","C","C","A","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","B","B","C","C","D","C","\C_IMAGES\200010_00_1_p1.TIF"
000186,1,1048743,"200011","A","A","A","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","D","C","D","A","C","A","B","D","B","A","C","C","B","B","D","C","D","A","\C_IMAGES\200011_00_1_p1.TIF"
000187,1,1048743,"200012","A","A","C","D","C","C","D","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","A","C","A","B","D","B","A","C","C","B","B","C","C","D","A","\C_IMAGES\200012_00_1_p1.TIF"
000188,1,1048743,"200013","A","A","A","D","C","B","B","D","C","D","D","C","C","B","B","C","A","C","B","B","A","D","D","C","D","D","A","A","B","D","B","A","C","C","B","C","B","C","D","C","\C_IMAGES\200013_00_1_p1.TIF"
000189,1,1048743,"200014","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","B","B","C","D","D","D","C","\C_IMAGES\200014_00_1_p1.TIF"
000190,1,1048743,"200015","A","A","C","D","C","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","D","C","D","C","\C_IMAGES\200015_00_1_p1.TIF"
000183,1,1048743,"200016","A","C","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","C","C","A","C","D","B","C","A","B","D","B","A","C","C","B","B","C","C","C","C","\C_IMAGES\200016_00_1_p1.TIF"
000182,1,1048743,"200017","A","A","C","D","C","B","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","B","A","B","D","B","A","C","D","B","B","D","C","D","C","\C_IMAGES\200017_00_1_p1.TIF"
000181,1,1048743,"200018","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","B","D","B","B","D","C","D","C","\C_IMAGES\200018_00_1_p1.TIF"
000180,1,1048743,"200019","A","A","C","D","C","C","B","D","C","C","B","C","C","B","D","A","D","C","B","B","A","C","A","C","D","A","B","A","B","D","B","A","C","D","B","B","C","C","C","A","\C_IMAGES\200019_00_1_p1.TIF"
000179,1,1048743,"200020","A","A","C","D","C","C","B","D","C","C","A","B","C","B","D","A","D","C","B","B","B","C","A","C","D","B","A","A","B","D","B","A","C","D","C","B","A","C","D","C","\C_IMAGES\200020_00_1_p1.TIF"
000178,1,1048743,"200021","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","C","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200021_00_1_p1.TIF"
000177,1,1048743,"200022","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","C","A","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","D","B","C","C","D","D","A","\C_IMAGES\200022_00_1_p1.TIF"
000198,1,1048774,"200023","A","B","C","D","C","B","B","D","C","B","A","C","C","B","D","A","C","A","B","B","A","C","A","C","D","A","D","A","B","D","B","A","C","D","B","B","D","C","D","C","\C_IMAGES\200023_00_1_p1.TIF"
000199,1,1048774,"200024","A","A","C","D","C","B","B","D","C","C","C","C","C","B","D","A","D","C","B","A","C","C","A","C","D","B","B","A","B","D","B","A","C","C","B","C","B","C","D","C","\C_IMAGES\200024_00_1_p1.TIF"
000200,1,1048774,"200025","A","A","C","D","D","B","B","D","C","C","B","C","C","B","D","A","D","C","B","B","A","C","A","A","D","C","B","A","B","D","B","A","C","C","B","B","D","C","B","C","\C_IMAGES\200025_00_1_p1.TIF"
000201,1,1048774,"200027","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","A","D","B","D","A","B","D","B","A","C","D","C","B","A","D","D","A","\C_IMAGES\200027_00_1_p1.TIF"
000202,1,1048774,"200028","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","C","C","D","C","\C_IMAGES\200028_00_1_p1.TIF"
000203,1,1048774,"200030","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","B","C","D","B","B","C","C","D","C","\C_IMAGES\200030_00_1_p1.TIF"
000204,1,1048774,"200031","A","A","C","A","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","B","D","A","A","D","B","A","C","C","B","C","C","D","D","C","\C_IMAGES\200031_00_1_p1.TIF"
000170,1,1048743,"200032","A","A","C","D","C","B","B","D","C","C","A","C","C","B","D","D","A","C","B","B","B","C","A","C","D","B","D","A","B","D","B","A","C","D","B","B","D","C","D","C","\C_IMAGES\200032_00_1_p1.TIF"
000171,1,1048743,"200033","A","A","C","D","C","C","B","D","C","C","A","B","C","D","D","A","D","C","B","B","A","C","A","C","D","A","D","A","B","D","B","A","C","C","B","B","C","C","D","C","\C_IMAGES\200033_00_1_p1.TIF"
